mrr:0.212716301796749	hit10:0.2890392422192152	hit5:0.25178168696436626	hit1:0.168425800631484
mrr:0.21779185220837524	hit10:0.29084348218313033	hit5:0.2552999548940009	hit1:0.17573297248534056
mrr:0.21974976333847618	hit10:0.29291835814163286	hit5:0.2571944068561119	hit1:0.17753721244925574
mrr:0.22767958323944612	hit10:0.3042850699142986	hit5:0.2647722147045557	hit1:0.18601714027965718
mrr:0.22814623785628807	hit10:0.29111411817771765	hit5:0.2617952187640956	hit1:0.19152007216959854
mrr:0.2205622056647896	hit10:0.3009472259810555	hit5:0.2644113667117727	hit1:0.1753721244925575
mrr:0.22504804545270005	hit10:0.2987821380243572	hit5:0.2602616147947677	hit1:0.1839422643211547
mrr:0.23010958661774678	hit10:0.30211998195760037	hit5:0.26450157870996843	hit1:0.1893549842129003
mrr:0.22190007576351592	hit10:0.292106450157871	hit5:0.2557510148849797	hit1:0.18340099233198015
mrr:0.23023339764419196	hit10:0.3024808299503834	hit5:0.2670275146594497	hit1:0.18980604420387912
mrr:0.23249300326522002	hit10:0.30545782589084347	hit5:0.2688317546233649	hit1:0.19224176815516464
mrr:0.2320811913631939	hit10:0.2991429860171403	hit5:0.2667568786648624	hit1:0.19350473612990526
mrr:0.2373546387189565	hit10:0.29833107803337844	hit5:0.2686513306269734	hit1:0.20081190798376183
mrr:0.23787654000551067	hit10:0.30455570590888587	hit5:0.27307171853856566	hit1:0.19945872801082545
mrr:0.233463714775741	hit10:0.305638249887235	hit5:0.26874154262516914	hit1:0.19314388813712224
mrr:0.23374562081649505	hit10:0.29625620207487596	hit5:0.2658547586829048	hit1:0.19657194406856113
mrr:0.23728990705159367	hit10:0.3029318899413622	hit5:0.27189896256202073	hit1:0.1988272440234551
mrr:0.2384444677552889	hit10:0.30663058186738834	hit5:0.27036535859269284	hit1:0.20072169598556608
mrr:0.24024086451846458	hit10:0.3042850699142986	hit5:0.2726206585475868	hit1:0.20414975191700496
mrr:0.23866034745124998	hit10:0.2993234100135318	hit5:0.27054578258908435	hit1:0.2028867839422643
mrr:0.22842210298873325	hit10:0.29445196211096075	hit5:0.262787550744249	hit1:0.18971583220568336
mrr:0.2340869604817369	hit10:0.2954442940911141	hit5:0.2662156066756879	hit1:0.19738385205232295
mrr:0.23535740247511316	hit10:0.2979702300405954	hit5:0.269553450608931	hit1:0.197744700045106
mrr:0.240167205847968	hit10:0.3017591339648173	hit5:0.2731619305367614	hit1:0.204510599909788
mrr:0.24097752756516988	hit10:0.305638249887235	hit5:0.2727108705457826	hit1:0.2049616599007668
mrr:0.2371709578470797	hit10:0.2965268380694632	hit5:0.2682002706359946	hit1:0.20216508795669824
mrr:0.23721351474211788	hit10:0.3024808299503834	hit5:0.2704555705908886	hit1:0.2
mrr:0.23508187245864143	hit10:0.2965268380694632	hit5:0.26693730266125393	hit1:0.19828597203428056
mrr:0.2370819996367925	hit10:0.2984212900315742	hit5:0.26946323861073523	hit1:0.20027063599458728
mrr:0.24373020048485403	hit10:0.30735227785295444	hit5:0.2761389264772215	hit1:0.20640505187189898
mrr:0.24097990318112317	hit10:0.29923319801533604	hit5:0.2709968425800631	hit1:0.20685611186287775
mrr:0.24154157331036072	hit10:0.3013982859720343	hit5:0.27307171853856566	hit1:0.20559314388813713
mrr:0.25173879785328734	hit10:0.32160577356788456	hit5:0.28813712223725757	hit1:0.21299052774018945
mrr:0.2421724872527427	hit10:0.298872350022553	hit5:0.27280108254397833	hit1:0.20685611186287775
mrr:0.23565530806910898	hit10:0.2956247180875056	hit5:0.2662156066756879	hit1:0.20054127198917457
mrr:0.23696513614090595	hit10:0.2997744700045106	hit5:0.27090663058186737	hit1:0.1990978800180424
mrr:0.2526700208145207	hit10:0.3115020297699594	hit5:0.28651330626973387	hit1:0.2166892196662156
mrr:0.24600046603769687	hit10:0.3020297699594046	hit5:0.2792061344158773	hit1:0.21190798376184034
mrr:0.24932090358519685	hit10:0.312043301759134	hit5:0.2805593143888137	hit1:0.21299052774018945
mrr:0.24742338306849862	hit10:0.3039242219215156	hit5:0.27803337843933246	hit1:0.21344158773116825
mrr:0.24953660475941042	hit10:0.30825439783491204	hit5:0.2790257104194858	hit1:0.21461434370771312
mrr:0.2519561948618619	hit10:0.3072620658547587	hit5:0.2809201623815967	hit1:0.21885430762291386
mrr:0.2481893386774716	hit10:0.2982408660351827	hit5:0.2767704104645918	hit1:0.21587731168245378
mrr:0.2422759315527699	hit10:0.30645015787099683	hit5:0.27108705457825893	hit1:0.20712674785746504
mrr:0.24306158829341762	hit10:0.2991429860171403	hit5:0.27298150654036984	hit1:0.20847992783040145
mrr:0.2408460157864833	hit10:0.30148849797023003	hit5:0.2715381145692377	hit1:0.2058637798827244
mrr:0.2450113538871779	hit10:0.3044654939106901	hit5:0.27532701849345964	hit1:0.20929183581416327
mrr:0.2453410327661518	hit10:0.30987821380243574	hit5:0.2774018944519621	hit1:0.20938204781235906
mrr:0.24660547164172925	hit10:0.3129454217410916	hit5:0.28299503834009926	hit1:0.20802886783942265
mrr:0.24261624151510205	hit10:0.29788001804239966	hit5:0.26964366260712674	hit1:0.21037437979251242
mrr:0.251616073685962	hit10:0.30897609382047814	hit5:0.2796571944068561	hit1:0.21885430762291386
mrr:0.2493126371491734	hit10:0.3105999097880018	hit5:0.28299503834009926	hit1:0.21362201172755976
mrr:0.24724669263413807	hit10:0.30437528191249436	hit5:0.27686062246278753	hit1:0.21253946774921065
mrr:0.2440587986641094	hit10:0.30527740189445196	hit5:0.27749210645015787	hit1:0.20622462787550744
mrr:0.2498423320565658	hit10:0.310148849797023	hit5:0.280829950383401	hit1:0.21416328371673432
mrr:0.24781890585614008	hit10:0.30617952187640957	hit5:0.2783040144339197	hit1:0.213531799729364
mrr:0.24670878664977483	hit10:0.30121786197564276	hit5:0.27550744248985115	hit1:0.21362201172755976
mrr:0.24859349632078867	hit10:0.3048263419034732	hit5:0.27622913847541725	hit1:0.21497519170049617
mrr:0.2477489066860111	hit10:0.3026612539467749	hit5:0.27586829048263417	hit1:0.21416328371673432
mrr:0.25040616500063895	hit10:0.30347316193053675	hit5:0.27568786648624266	hit1:0.21930536761389266
mrr:0.2500888228506216	hit10:0.3074424898511502	hit5:0.2812810103743798	hit1:0.21659900766801984
mrr:0.2540713411253365	hit10:0.3068110058637799	hit5:0.2839873703202526	hit1:0.2216508795669824
mrr:0.2475074315893741	hit10:0.3047361299052774	hit5:0.2776725304465494	hit1:0.21479476770410463
mrr:0.2474214272000755	hit10:0.2996842580063148	hit5:0.2745151105096978	hit1:0.21614794767704104
mrr:0.2500127958762485	hit10:0.30013531799729365	hit5:0.2774018944519621	hit1:0.21921515561569688
mrr:0.24862193042112696	hit10:0.3046459179070816	hit5:0.27686062246278753	hit1:0.21506540369869193
mrr:0.24583070747868066	hit10:0.3051871898962562	hit5:0.27713125845737485	hit1:0.21163734776725304
mrr:0.24755942371832806	hit10:0.2996842580063148	hit5:0.27325214253495717	hit1:0.21596752368064953
mrr:0.24847297588993925	hit10:0.3041046459179071	hit5:0.2769508344609833	hit1:0.21569688768606224
mrr:0.245910091254562	hit10:0.29833107803337844	hit5:0.27388362652232745	hit1:0.21434370771312586
mrr:0.24207254108850224	hit10:0.29481281010374377	hit5:0.26765899864682	hit1:0.21028416779431663
mrr:0.2471259268522111	hit10:0.3017591339648173	hit5:0.2750563824988724	hit1:0.21407307171853857
mrr:0.24868322838719828	hit10:0.3062697338746053	hit5:0.278574650428507	hit1:0.21542625169147497
mrr:0.24934359985303042	hit10:0.3015787099684258	hit5:0.27658998646820027	hit1:0.21813261163734776
mrr:0.2485868086384481	hit10:0.303022101939558	hit5:0.2774018944519621	hit1:0.21560667568786648
mrr:0.25375682422260304	hit10:0.30690121786197566	hit5:0.278574650428507	hit1:0.2219215155615697
