mrr:0.2704548255139415	hit10:0.3700528907532373	hit5:0.321904067116542	hit1:0.21028633959511217
mrr:0.271904500562106	hit10:0.37370052890753236	hit5:0.3288345796097027	hit1:0.21101586722597118
mrr:0.26913608210093776	hit10:0.3726062374612438	hit5:0.31898595659310597	hit1:0.2097391938719679
mrr:0.2691508470883264	hit10:0.37060003647638157	hit5:0.3195331023162502	hit1:0.2080977567025351
mrr:0.27616653151827647	hit10:0.38300200620098485	hit5:0.33339412730257156	hit1:0.2157577968265548
mrr:0.27046936223988727	hit10:0.37661863943096846	hit5:0.3228159766551158	hit1:0.21065110341054166
mrr:0.2653081549930183	hit10:0.3669523983220864	hit5:0.3220864490242568	hit1:0.20189677184023344
mrr:0.26876076597818943	hit10:0.37698340324639795	hit5:0.3242750319168338	hit1:0.20554440999452855
mrr:0.26501873718166896	hit10:0.3698705088455225	hit5:0.32263359474740105	hit1:0.20226153565566296
mrr:0.267079462263107	hit10:0.37753054896954225	hit5:0.3209921575779683	hit1:0.2057267919022433
mrr:0.265705872643094	hit10:0.3757067298923947	hit5:0.32062739376253874	hit1:0.2040853547328105
mrr:0.27018752012560787	hit10:0.3757067298923947	hit5:0.3233631223782601	hit1:0.20937443005653839
mrr:0.26503643385552056	hit10:0.37698340324639795	hit5:0.3200802480393945	hit1:0.20317344519423672
mrr:0.2673305946443354	hit10:0.3720590917380996	hit5:0.3200802480393945	hit1:0.2073682290716761
mrr:0.26817906432182576	hit10:0.3729710012766734	hit5:0.3215393033011125	hit1:0.2077329928871056
mrr:0.2674257056057412	hit10:0.3753419660769652	hit5:0.32391026810140433	hit1:0.20663870144081706
mrr:0.2694118550329199	hit10:0.37552434798467993	hit5:0.32591646908626665	hit1:0.2077329928871056
mrr:0.2652362971749853	hit10:0.3726062374612438	hit5:0.3228159766551158	hit1:0.20262629947109248
mrr:0.2641439243968832	hit10:0.37424767463067665	hit5:0.32026262994710925	hit1:0.19970818894765638
mrr:0.26187509700172595	hit10:0.3700528907532373	hit5:0.31825642896224693	hit1:0.1984315155936531
mrr:0.2648992206423874	hit10:0.3678643078606602	hit5:0.31989786613167975	hit1:0.2033558271019515
mrr:0.26853900944392334	hit10:0.37096480029181106	hit5:0.3215393033011125	hit1:0.20627393762538757
mrr:0.2665373436553921	hit10:0.3735181469998176	hit5:0.32226883093197156	hit1:0.20445011854824002
mrr:0.26675658074489816	hit10:0.3724238555535291	hit5:0.3215393033011125	hit1:0.20353820900966624
mrr:0.2640479918303161	hit10:0.37041765456866677	hit5:0.31661499179281416	hit1:0.20116724420937443
mrr:0.2642653749998646	hit10:0.3726062374612438	hit5:0.3220864490242568	hit1:0.2017143899325187
mrr:0.26524424993785883	hit10:0.37060003647638157	hit5:0.3209921575779683	hit1:0.20280868137880723
mrr:0.26605898274663276	hit10:0.37060003647638157	hit5:0.3186211927776765	hit1:0.20609155571767282
mrr:0.26683760003532825	hit10:0.3758891118001094	hit5:0.3248221776399781	hit1:0.20280868137880723
mrr:0.26396440811534844	hit10:0.37187670983038484	hit5:0.319715484223965	hit1:0.19952580703994163
mrr:0.2662000046969141	hit10:0.3727886193689586	hit5:0.3173445194236732	hit1:0.20463250045595477
mrr:0.2601681715442408	hit10:0.3700528907532373	hit5:0.31825642896224693	hit1:0.19624293270107607
mrr:0.26340812744959147	hit10:0.37898960423126027	hit5:0.3184388108699617	hit1:0.20043771657851542
mrr:0.2616283799880787	hit10:0.37041765456866677	hit5:0.32117453948568303	hit1:0.1967900784242203
mrr:0.262205584779746	hit10:0.3669523983220864	hit5:0.3188035746853912	hit1:0.19788436987050884
mrr:0.26334355040470975	hit10:0.37753054896954225	hit5:0.3257340871785519	hit1:0.19861389750136788
mrr:0.2625036613562423	hit10:0.37041765456866677	hit5:0.31825642896224693	hit1:0.1984315155936531
mrr:0.2586631114441348	hit10:0.3674995440452307	hit5:0.3233631223782601	hit1:0.1924129126390662
mrr:0.261578325048112	hit10:0.370235272660952	hit5:0.31789166514681744	hit1:0.19697246033193508
